ID,Title,Author,ISBN,"Total Copies","Available Copies","Record Status"
1,"The Great Gatsby","F. Scott Fitzgerald",9780743273565,5,5,active
2,"Introduction to PHP & Laravel","LibraSync Team",9781119623251,2,2,active
3,"1.001 Prescription Drugs",Unknown,9781043321819,9,9,active
4,"100 Classic Napkin Folds",Beech,9786001338908,8,8,active
5,"100 Classic Napkin Folds",Unknown,9788637940265,1,1,active
6,"1000 Best Bartenders","Parker Suzi",9784235116156,2,2,active
7,"1000 Math Problems","Philips Sumi",9785940781615,10,10,active
8,"1000 Recipes Cookbook",Unknown,9789593103411,2,2,active
9,"1001 humorous Illustration for Public Speaking","Michael Hodgin",9783164752558,10,10,active
10,"1001 Math Problems","Philips Sumi",9784192832762,5,5,active
11,"101 Recipes From God's Garden","Vanhoy Sandra",9788350305648,2,2,active
12,"101 Uses For A Bridesmaid Dress","Walker Cindy",9783953767244,1,1,active
13,"159 ways To Reward Employees","Nelson Bob",9783884969656,5,5,active
14,"17 Things My kids Taught me About God","J. Mack Stiles",9782871012269,1,1,active
15,"19 Purchase Street","Gerald A. Browne",9786697848019,1,1,active
16,"1977 Supreme Court Decisions: Subject Index","Jorge L. Cabaldo",9785146270487,2,2,active
17,"2000 Everyday Health Tips for Better",Unknown,9788148932520,1,1,active
18,"2001 Questions in Communications Engineering","Santos S. Cuervo",9788095701545,8,8,active
19,"2004 IAI Membership Directory",Unknown,9780391171824,5,5,active
20,"2005 IAI Membership Directory",Unknown,9787824896385,5,5,active
21,"2006 PDR Nurses Drug Handbook","George R. Spratto",9784657871336,1,1,active
22,"2007 Mosby's Nursing Drug Reference","Linda Skidmare-Roth",9785098393012,1,1,active
23,"2009 Culture Book",Unknown,9783105183472,1,1,active
24,"2009 World Recipes Planner",Unknown,9788299737630,1,1,active
25,"20th Century Book Keeping & Accounting","Paul A. Carlson",9781656670106,4,4,active
26,"20th Century Book Keeping and Accounting","Lewis D. Baynton",9785133387266,7,7,active
27,"21st Century Applied Statistics With0 Computer Software Application","Enriqueta D. Reston",9784731781087,5,5,active
28,"21st Century Literature","Asuncion Luis G",9780132677363,10,10,active
29,"21st Century Literature from the Philippine & the World","Rodolfo M. Martinez",9782606474683,4,4,active
30,"21st Century Risk Management with Sanitation","Anabelle Ocampo",9787234309802,9,9,active
31,"30 Creative Containers",Unknown,9780097882086,2,2,active
32,"30 Minute Indian Cuisine","Chaudhuri Tina",9782191361931,1,1,active
33,"3001 Questions in Electronics Engineering",Unknown,9789091699850,8,8,active
34,"31 Dream Street","Lisa Jewll",9783534624751,2,2,active
35,"332 Indian Food Recipe",Unknown,9780799118384,1,1,active
36,"365 Days With the Lord",Unknown,9782513542789,2,2,active
37,"365 Foreign Dishes",Unknown,9789808412413,2,2,active
38,"450 Vegetable",Unknown,9788244935340,1,1,active
